n_samples,n_atoms,egnn_memory_bytes,adj_mat_seer_memory_bytes
20,15,475199500,93268798
20,16,532758860,93268798
20,17,593951420,93268798
20,18,658777180,93268798
20,19,727236140,93268798
20,20,799328300,93268798
20,21,875053660,93268798
20,22,954412220,93268798
20,23,1037403980,93268798
20,24,1124028940,93268798
20,25,1214287100,93268798
20,26,1308178460,93268798
20,27,1405703020,93268798
20,28,1506860780,93268798
20,29,1611651740,93268798
20,30,1720075900,93268798
20,31,1832133260,93268798
20,32,1947823820,93268798
20,33,2067147580,93268798
20,34,2190104540,93268798
20,35,2316694700,93268798
20,36,2446918060,93268798
20,37,2580774620,93268798
20,38,2718264380,93268798
20,39,2859387340,93268798
40,15,902605940,142936318
40,16,1017724660,142936318
40,17,1140109780,142936318
40,18,1269761300,142936318
40,19,1406679220,142936318
40,20,1550863540,142936318
40,21,1702314260,142936318
40,22,1861031380,142936318
40,23,2027014900,142936318
40,24,2200264820,142936318
40,25,2380781140,142936318
40,26,2568563860,142936318
40,27,2763612980,142936318
40,28,2965928500,142936318
40,29,3175510420,142936318
40,30,3392358740,142936318
40,31,3616473460,142936318
40,32,3847854580,142936318
40,33,4086502100,142936318
40,34,4332416020,142936318
40,35,4585596340,142936318
40,36,4846043060,142936318
40,37,5113756180,142936318
40,38,5388735700,142936318
40,39,5670981620,142936318
60,15,1330012380,192603838
60,16,1502690460,192603838
60,17,1686268140,192603838
60,18,1880745420,192603838
60,19,2086122300,192603838
60,20,2302398780,192603838
60,21,2529574860,192603838
60,22,2767650540,192603838
60,23,3016625820,192603838
60,24,3276500700,192603838
60,25,3547275180,192603838
60,26,3828949260,192603838
60,27,4121522940,192603838
60,28,4424996220,192603838
60,29,4739369100,192603838
60,30,5064641580,192603838
60,31,5400813660,192603838
60,32,5747885340,192603838
60,33,6105856620,192603838
60,34,6474727500,192603838
60,35,6854497980,192603838
60,36,7245168060,192603838
60,37,7646737740,192603838
60,38,8059207020,192603838
60,39,8482575900,192603838
80,15,1757418820,242271358
80,16,1987656260,242271358
80,17,2232426500,242271358
80,18,2491729540,242271358
80,19,2765565380,242271358
80,20,3053934020,242271358
80,21,3356835460,242271358
80,22,3674269700,242271358
80,23,4006236740,242271358
80,24,4352736580,242271358
80,25,4713769220,242271358
80,26,5089334660,242271358
80,27,5479432900,242271358
80,28,5884063940,242271358
80,29,6303227780,242271358
80,30,6736924420,242271358
80,31,7185153860,242271358
80,32,7647916100,242271358
80,33,8125211140,242271358
80,34,8617038980,242271358
80,35,9123399620,242271358
80,36,9644293060,242271358
80,37,10179719300,242271358
80,38,10729678340,242271358
80,39,11294170180,242271358
100,15,2184825260,291938878
100,16,2472622060,291938878
100,17,2778584860,291938878
100,18,3102713660,291938878
100,19,3445008460,291938878
100,20,3805469260,291938878
100,21,4184096060,291938878
100,22,4580888860,291938878
100,23,4995847660,291938878
100,24,5428972460,291938878
100,25,5880263260,291938878
100,26,6349720060,291938878
100,27,6837342860,291938878
100,28,7343131660,291938878
100,29,7867086460,291938878
100,30,8409207260,291938878
100,31,8969494060,291938878
100,32,9547946860,291938878
100,33,10144565660,291938878
100,34,10759350460,291938878
100,35,11392301260,291938878
100,36,12043418060,291938878
100,37,12712700860,291938878
100,38,13400149660,291938878
100,39,14105764460,291938878
