Set1,Set2,Size1,Size2,FCD
48k_STRUCTURE_SEER_samples 1,93k_OPENBABEL_samples 1,48166,93560,4.773271728460364e-05
48k_STRUCTURE_SEER_samples 1,chembl_molecules_100k,48166,100000,0.004355048975395936
48k_STRUCTURE_SEER_samples 1,chembl_molecules_100k_filtered,48166,100000,0.0005678944464145855
48k_STRUCTURE_SEER_samples 1,pubchem_molecules_100k,48166,99990,0.005515750310803914
48k_STRUCTURE_SEER_samples 1,pubchem_molecules_100k_filtered,48166,100000,0.0022476543091918704
48k_STRUCTURE_SEER_samples 1,zinc_samples_filtered_100k,48166,100000,0.0008937249243169066
48k_STRUCTURE_SEER_samples 1,zinc_samples_unfiltered_100k,48166,100000,0.0008871770131369456
48k_STRUCTURE_SEER_samples 1,250k_rndm_zinc_drugs_clean_3,48166,249455,0.002312654966956899
93k_OPENBABEL_samples 1,chembl_molecules_100k,93560,100000,0.0035142836176713464
93k_OPENBABEL_samples 1,chembl_molecules_100k_filtered,93560,100000,0.00033921034069580273
93k_OPENBABEL_samples 1,pubchem_molecules_100k,93560,99990,0.004810273329409362
93k_OPENBABEL_samples 1,pubchem_molecules_100k_filtered,93560,100000,0.0023238215178825886
93k_OPENBABEL_samples 1,zinc_samples_filtered_100k,93560,100000,0.0010459061701442018
93k_OPENBABEL_samples 1,zinc_samples_unfiltered_100k,93560,100000,0.0010374417501222933
93k_OPENBABEL_samples 1,250k_rndm_zinc_drugs_clean_3,93560,249455,0.002752762066115691
chembl_molecules_100k,chembl_molecules_100k_filtered,100000,100000,0.0021800827515197282
chembl_molecules_100k,pubchem_molecules_100k,100000,99990,0.0017676647433151498
chembl_molecules_100k,pubchem_molecules_100k_filtered,100000,100000,0.006122772748555399
chembl_molecules_100k,zinc_samples_filtered_100k,100000,100000,0.006527791579090853
chembl_molecules_100k,zinc_samples_unfiltered_100k,100000,100000,0.006498357510157348
chembl_molecules_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,0.010104850989157718
chembl_molecules_100k_filtered,pubchem_molecules_100k,100000,99990,0.0031801856018933063
chembl_molecules_100k_filtered,pubchem_molecules_100k_filtered,100000,100000,0.0018612870524477758
chembl_molecules_100k_filtered,zinc_samples_filtered_100k,100000,100000,0.0013347430690670383
chembl_molecules_100k_filtered,zinc_samples_unfiltered_100k,100000,100000,0.001319623170111928
chembl_molecules_100k_filtered,250k_rndm_zinc_drugs_clean_3,100000,249455,0.003115676799438986
pubchem_molecules_100k,pubchem_molecules_100k_filtered,99990,100000,0.003919767490295499
pubchem_molecules_100k,zinc_samples_filtered_100k,99990,100000,0.008056513816759309
pubchem_molecules_100k,zinc_samples_unfiltered_100k,99990,100000,0.00801098178953108
pubchem_molecules_100k,250k_rndm_zinc_drugs_clean_3,99990,249455,0.008948107100709387
pubchem_molecules_100k_filtered,zinc_samples_filtered_100k,100000,100000,0.002526683586843467
pubchem_molecules_100k_filtered,zinc_samples_unfiltered_100k,100000,100000,0.0025014284119885227
pubchem_molecules_100k_filtered,250k_rndm_zinc_drugs_clean_3,100000,249455,0.0012291930238270971
zinc_samples_filtered_100k,zinc_samples_unfiltered_100k,100000,100000,9.722546513620885e-08
zinc_samples_filtered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,0.0013357385588670518
zinc_samples_unfiltered_100k,250k_rndm_zinc_drugs_clean_3,100000,249455,0.0013275519656222147
