Set1,Set2,Size1,Size2,FCD
93k_OPENBABEL_samples 1,100_time_steps_generated_samples,50018,5045,0.00011076820315035286
93k_OPENBABEL_samples 1,50_time_steps_generated_samples,50018,4968,0.00014419098081385511
93k_OPENBABEL_samples 1,48k_STRUCTURE_SEER_samples 1,50018,48166,7.439426719327208e-05
93k_OPENBABEL_samples 1,20_time_steps_generated_samples,50018,4796,0.00029307575771058574
93k_OPENBABEL_samples 1,300_time_steps_generated_samples,50018,5089,0.00010057148760676162
93k_OPENBABEL_samples 1,chembl_molecules_100k_filtered,50018,100000,0.0003542882021411731
93k_OPENBABEL_samples 1,zinc_samples_unfiltered_100k,50018,100000,0.0013808231108185605
93k_OPENBABEL_samples 1,zinc_samples_filtered_100k,50018,100000,0.0013893413039380007
93k_OPENBABEL_samples 1,chembl_molecules_100k,50018,100000,0.0031856885273613923
93k_OPENBABEL_samples 1,pubchem_molecules_100k_filtered,50018,100000,0.0030640853038463754
93k_OPENBABEL_samples 1,pubchem_molecules_100k,50018,99990,0.0054506970565679075
93k_OPENBABEL_samples 1,250k_rndm_zinc_drugs_clean_3,50018,249455,0.0035691518496392717
100_time_steps_generated_samples,50_time_steps_generated_samples,5045,4968,4.915373208585468e-06
100_time_steps_generated_samples,48k_STRUCTURE_SEER_samples 1,5045,48166,9.937167098010003e-06
100_time_steps_generated_samples,20_time_steps_generated_samples,5045,4796,7.53231296210798e-05
100_time_steps_generated_samples,300_time_steps_generated_samples,5045,5089,1.2155245831011412e-05
100_time_steps_generated_samples,chembl_molecules_100k_filtered,5045,100000,0.0006011693692040665
100_time_steps_generated_samples,zinc_samples_unfiltered_100k,5045,100000,0.0010933727594691443
100_time_steps_generated_samples,zinc_samples_filtered_100k,5045,100000,0.001100108084778674
100_time_steps_generated_samples,chembl_molecules_100k,5045,100000,0.004339773872003761
100_time_steps_generated_samples,pubchem_molecules_100k_filtered,5045,100000,0.002703276488331228
100_time_steps_generated_samples,pubchem_molecules_100k,5045,99990,0.006280318196707234
100_time_steps_generated_samples,250k_rndm_zinc_drugs_clean_3,5045,249455,0.002747597402292605
50_time_steps_generated_samples,48k_STRUCTURE_SEER_samples 1,4968,48166,2.20130172079847e-05
50_time_steps_generated_samples,20_time_steps_generated_samples,4968,4796,5.229341754585755e-05
50_time_steps_generated_samples,300_time_steps_generated_samples,4968,5089,2.0225773824495276e-05
50_time_steps_generated_samples,chembl_molecules_100k_filtered,4968,100000,0.0006715762707895797
50_time_steps_generated_samples,zinc_samples_unfiltered_100k,4968,100000,0.0011212396113858471
50_time_steps_generated_samples,zinc_samples_filtered_100k,4968,100000,0.001127781966021751
50_time_steps_generated_samples,chembl_molecules_100k,4968,100000,0.004509932370321095
50_time_steps_generated_samples,pubchem_molecules_100k_filtered,4968,100000,0.002704191865969334
50_time_steps_generated_samples,pubchem_molecules_100k,4968,99990,0.006410459261407373
50_time_steps_generated_samples,250k_rndm_zinc_drugs_clean_3,4968,249455,0.002708173332586841
