,93k_OPENBABEL_samples 1,100_time_steps_generated_samples,50_time_steps_generated_samples,48k_STRUCTURE_SEER_samples 1,20_time_steps_generated_samples,300_time_steps_generated_samples,chembl_molecules_100k_filtered,zinc_samples_unfiltered_100k,zinc_samples_filtered_100k,chembl_molecules_100k,pubchem_molecules_100k_filtered,pubchem_molecules_100k,250k_rndm_zinc_drugs_clean_3
93k_OPENBABEL_samples 1,0.0,4.2207084796277154,4.195323460468904,1.6253377941199327,4.479498081955636,4.206635406723031,4.306823270143202,7.0728423534559415,7.086590707341714,4.630696541630111,2.9445453185431196,2.8890494366138864,5.382788411557719
100_time_steps_generated_samples,4.2207084796277154,0.0,4.748748008173103,2.841308677212619,5.131515325441055,4.6635467326973155,6.132344969974687,9.574963941993202,9.588862890408958,6.661290260889632,4.814947974510788,5.048445310907872,7.106927942900323
50_time_steps_generated_samples,4.195323460468904,4.748748008173103,0.0,2.961604311544604,5.022263693938923,4.751529543676266,6.429744755088167,9.599785834279416,9.613970929585017,6.930914687421118,4.959480891379152,5.171399679740069,7.260040192577599
48k_STRUCTURE_SEER_samples 1,1.6253377941199327,2.841308677212619,2.961604311544604,0.0,3.4791387413432675,2.7754722483229535,3.473311075243893,7.380683756487197,7.397024959130617,3.976621709086836,2.48050947075391,2.574891075913147,4.840460117564815
20_time_steps_generated_samples,4.479498081955636,5.131515325441055,5.022263693938923,3.4791387413432675,0.0,5.176750714583657,7.537181099747236,10.074938371582014,10.08768500607101,7.971511410445501,5.655522083875715,5.8249140579703,8.102086545948572
300_time_steps_generated_samples,4.206635406723031,4.6635467326973155,4.751529543676266,2.7754722483229535,5.176750714583657,0.0,5.9602327987298995,9.391618877857843,9.406739199509648,6.511832055612851,4.735845207185671,4.976841649690651,6.924410832033765
chembl_molecules_100k_filtered,4.306823270143202,6.132344969974687,6.429744755088167,3.473311075243893,7.537181099747236,5.9602327987298995,0.0,7.611435257704509,7.633681087357057,0.7885973902234324,1.9574287959197016,2.2289787018238534,3.9133746807043206
zinc_samples_unfiltered_100k,7.0728423534559415,9.574963941993202,9.599785834279416,7.380683756487197,10.074938371582014,9.391618877857843,7.611435257704509,0.0,0.0026462570349367128,8.268868829883118,5.0927690307076,5.761026347740601,3.608363123682104
zinc_samples_filtered_100k,7.086590707341714,9.588862890408958,9.613970929585017,7.397024959130617,10.08768500607101,9.406739199509648,7.633681087357057,0.0026462570349367128,0.0,8.296186910961154,5.113298152859209,5.790520467052028,3.625589823073712
chembl_molecules_100k,4.630696541630111,6.661290260889632,6.930914687421118,3.976621709086836,7.971511410445501,6.511832055612851,0.7885973902234324,8.268868829883118,8.296186910961154,0.0,2.68243273259255,2.479518639891646,4.958037903750791
pubchem_molecules_100k_filtered,2.9445453185431196,4.814947974510788,4.959480891379152,2.48050947075391,5.655522083875715,4.735845207185671,1.9574287959197016,5.0927690307076,5.113298152859209,2.68243273259255,0.0,0.484647151815865,2.3340396763876794
pubchem_molecules_100k,2.8890494366138864,5.048445310907872,5.171399679740069,2.574891075913147,5.8249140579703,4.976841649690651,2.2289787018238534,5.761026347740601,5.790520467052028,2.479518639891646,0.484647151815865,0.0,3.247785021385435
250k_rndm_zinc_drugs_clean_3,5.382788411557719,7.106927942900323,7.260040192577599,4.840460117564815,8.102086545948572,6.924410832033765,3.9133746807043206,3.608363123682104,3.625589823073712,4.958037903750791,2.3340396763876794,3.247785021385435,0.0
